start_id,end_id,start_labels,rel_type,end_labels
22,144,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
22,145,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
22,146,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
22,147,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
22,148,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
22,261,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
23,233,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
23,258,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
23,259,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
23,266,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
23,267,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
41,272,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
42,47,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
42,48,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
42,49,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
42,50,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
42,51,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
42,52,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
42,53,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
42,56,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
42,57,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
42,58,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
42,59,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
42,68,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
42,70,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
42,90,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
42,91,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
42,106,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
42,115,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
43,110,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
45,60,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
45,61,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
45,62,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
45,75,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
45,76,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
45,82,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
45,83,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
45,84,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
